Step,Information:,X=1.26191n,Run:,15/20
1.99526231496889e+005,5.89916010592657e+000,-2.18805760731650e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+005,5.70318050788993e+000,-2.46329467165919e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+005,5.42232155091516e+000,-2.83978729437907e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553499e+005,5.01876716370044e+000,-3.31492348027527e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627274e+005,4.45154990110512e+000,-3.87824279322926e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480196e+005,3.68384703122246e+000,-4.50896201899967e+001,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724285e+005,2.69299591283851e+000,-5.17712208793246e+001,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+006,1.47823341512116e+000,-5.84940053255978e+001,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+006,6.10453907703347e-002,-6.49728401915474e+001,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+006,-1.52210214638853e+000,-7.10326307021777e+001,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496889e+006,-3.22974151559367e+000,-7.66248518438065e+001,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+006,-5.02290728166667e+000,-8.18068230109291e+001,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+006,-6.86827114366722e+000,-8.67073596141276e+001,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553499e+006,-8.73776081509429e+000,-9.14961109472896e+001,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627275e+006,-1.06062432336188e+001,-9.63616782253280e+001,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480196e+006,-1.24484671981260e+001,-1.01495605758896e+002,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724285e+006,-1.42360439472576e+001,-1.07076276694495e+002,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000000e+007,-1.59352685624976e+001,-1.13246884041448e+002,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+007,-1.75070307351104e+001,-1.20085100168300e+002,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+007,-1.89104048142662e+001,-1.27570597314172e+002,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496889e+007,-2.01106250869855e+001,-1.35568858100001e+002,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+007,-2.10892521321157e+001,-1.43854639396191e+002,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016839e+007,-2.18512046171052e+001,-1.52180567131170e+002,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553499e+007,-2.24241084323922e+001,-1.60362156126352e+002,-1.77979432361381e+002,0.00000000000000e+000
5.01187233627275e+007,-2.28508088188628e+001,-1.68335803675590e+002,-1.77979432361381e+002,0.00000000000000e+000
6.30957344480196e+007,-2.31804084458705e+001,-1.76169223086937e+002,-1.77979432361381e+002,0.00000000000000e+000
7.94328234724286e+007,-2.34625885245430e+001,1.75963675598557e+002,-1.77979432361381e+002,0.00000000000000e+000
1.00000000000001e+008,-2.37464786730824e+001,1.67820350221572e+002,-1.77979432361381e+002,0.00000000000000e+000
1.25892541179417e+008,-2.40827440295247e+001,1.59125054401030e+002,-1.77979432361381e+002,0.00000000000000e+000
1.58489319246112e+008,-2.45266119095649e+001,1.49597599669079e+002,-1.77979432361381e+002,0.00000000000000e+000
1.99526231496889e+008,-2.51393126949480e+001,1.38970176984749e+002,-1.77979432361381e+002,0.00000000000000e+000
2.51188643150959e+008,-2.59854607763087e+001,1.26971810586146e+002,-1.77979432361381e+002,0.00000000000000e+000
3.16227766016840e+008,-2.71241513317933e+001,1.13233567266047e+002,-1.77979432361381e+002,0.00000000000000e+000
3.98107170553499e+008,-2.85882043844143e+001,9.70422261563243e+001,-1.77979432361381e+002,0.00000000000000e+000
